tla,hardship_type,quarter,grants
Auckland Super City,Electricity Assistance,Mar 2023,2730
Auckland Super City,Electricity Assistance,Jun 2023,2838
Auckland Super City,Electricity Assistance,Sep 2023,3999
Auckland Super City,Electricity Assistance,Dec 2023,3339
Auckland Super City,Electricity Assistance,Mar 2024,2946
Auckland Super City,Electricity Assistance,Jun 2024,2433
Auckland Super City,Electricity Assistance,Sep 2024,3177
Auckland Super City,Electricity Assistance,Dec 2024,2712
Auckland Super City,Electricity Assistance,Mar 2025,2643
Auckland Super City,Electricity Assistance,Jun 2025,2355
Auckland Super City,Electricity Assistance,Sep 2025,3387
Auckland Super City,Electricity Assistance,Dec 2025,2592
Auckland Super City,Electricity Assistance,Mar 2026,2421
Auckland Super City,Emergency Housing,Mar 2023,7173
Auckland Super City,Emergency Housing,Jun 2023,8613
Auckland Super City,Emergency Housing,Sep 2023,8343
Auckland Super City,Emergency Housing,Dec 2023,8145
Auckland Super City,Emergency Housing,Mar 2024,6606
Auckland Super City,Emergency Housing,Jun 2024,5136
Auckland Super City,Emergency Housing,Sep 2024,2550
Auckland Super City,Emergency Housing,Dec 2024,1041
Auckland Super City,Emergency Housing,Mar 2025,540
Auckland Super City,Emergency Housing,Jun 2025,576
Auckland Super City,Emergency Housing,Sep 2025,669
Auckland Super City,Emergency Housing,Dec 2025,852
Auckland Super City,Emergency Housing,Mar 2026,1044
Auckland Super City,Food,Mar 2023,115092
Auckland Super City,Food,Jun 2023,103083
Auckland Super City,Food,Sep 2023,111243
Auckland Super City,Food,Dec 2023,111474
Auckland Super City,Food,Mar 2024,108450
Auckland Super City,Food,Jun 2024,93786
Auckland Super City,Food,Sep 2024,102561
Auckland Super City,Food,Dec 2024,106989
Auckland Super City,Food,Mar 2025,107970
Auckland Super City,Food,Jun 2025,97395
Auckland Super City,Food,Sep 2025,104604
Auckland Super City,Food,Dec 2025,113571
Auckland Super City,Food,Mar 2026,111024
Auckland Super City,Gas Assistance,Mar 2023,102
Auckland Super City,Gas Assistance,Jun 2023,87
Auckland Super City,Gas Assistance,Sep 2023,96
Auckland Super City,Gas Assistance,Dec 2023,102
Auckland Super City,Gas Assistance,Mar 2024,111
Auckland Super City,Gas Assistance,Jun 2024,81
Auckland Super City,Gas Assistance,Sep 2024,99
Auckland Super City,Gas Assistance,Dec 2024,93
Auckland Super City,Gas Assistance,Mar 2025,90
Auckland Super City,Gas Assistance,Jun 2025,72
Auckland Super City,Gas Assistance,Sep 2025,99
Auckland Super City,Gas Assistance,Dec 2025,93
Auckland Super City,Gas Assistance,Mar 2026,93
Auckland Super City,Stranded Travel - Petrol,Mar 2023,936
Auckland Super City,Stranded Travel - Petrol,Jun 2023,717
Auckland Super City,Stranded Travel - Petrol,Sep 2023,849
Auckland Super City,Stranded Travel - Petrol,Dec 2023,894
Auckland Super City,Stranded Travel - Petrol,Mar 2024,843
Auckland Super City,Stranded Travel - Petrol,Jun 2024,690
Auckland Super City,Stranded Travel - Petrol,Sep 2024,684
Auckland Super City,Stranded Travel - Petrol,Dec 2024,615
Auckland Super City,Stranded Travel - Petrol,Mar 2025,708
Auckland Super City,Stranded Travel - Petrol,Jun 2025,498
Auckland Super City,Stranded Travel - Petrol,Sep 2025,564
Auckland Super City,Stranded Travel - Petrol,Dec 2025,540
Auckland Super City,Stranded Travel - Petrol,Mar 2026,507
Auckland Super City,All hardship,Mar 2023,222864
Auckland Super City,All hardship,Jun 2023,200697
Auckland Super City,All hardship,Sep 2023,208995
Auckland Super City,All hardship,Dec 2023,200589
Auckland Super City,All hardship,Mar 2024,202575
Auckland Super City,All hardship,Jun 2024,177012
Auckland Super City,All hardship,Sep 2024,185859
Auckland Super City,All hardship,Dec 2024,181659
Auckland Super City,All hardship,Mar 2025,193164
Auckland Super City,All hardship,Jun 2025,173838
Auckland Super City,All hardship,Sep 2025,182514
Auckland Super City,All hardship,Dec 2025,187269
Auckland Super City,All hardship,Mar 2026,197079
Hamilton City,Electricity Assistance,Mar 2023,447
Hamilton City,Electricity Assistance,Jun 2023,318
Hamilton City,Electricity Assistance,Sep 2023,639
Hamilton City,Electricity Assistance,Dec 2023,558
Hamilton City,Electricity Assistance,Mar 2024,417
