tla,hardship_type,quarter,amount
Auckland Super City,Electricity Assistance,Mar 2023,972042.15
Auckland Super City,Electricity Assistance,Jun 2023,1124852.11
Auckland Super City,Electricity Assistance,Sep 2023,1820215.88
Auckland Super City,Electricity Assistance,Dec 2023,1649196.2
Auckland Super City,Electricity Assistance,Mar 2024,1297610.25
Auckland Super City,Electricity Assistance,Jun 2024,1002134.92
Auckland Super City,Electricity Assistance,Sep 2024,1535289.15
Auckland Super City,Electricity Assistance,Dec 2024,1311603.27
Auckland Super City,Electricity Assistance,Mar 2025,1207122.36
Auckland Super City,Electricity Assistance,Jun 2025,1023966.34
Auckland Super City,Electricity Assistance,Sep 2025,1604258
Auckland Super City,Electricity Assistance,Dec 2025,1420544.41
Auckland Super City,Electricity Assistance,Mar 2026,1322673.92
Auckland Super City,Emergency Housing,Mar 2023,17916902.2
Auckland Super City,Emergency Housing,Jun 2023,23574789.78
Auckland Super City,Emergency Housing,Sep 2023,26248694.8
Auckland Super City,Emergency Housing,Dec 2023,28267479.55
Auckland Super City,Emergency Housing,Mar 2024,22437024.38
Auckland Super City,Emergency Housing,Jun 2024,16044506.31
Auckland Super City,Emergency Housing,Sep 2024,6321163.42
Auckland Super City,Emergency Housing,Dec 2024,2223933.05
Auckland Super City,Emergency Housing,Mar 2025,1037457.35
Auckland Super City,Emergency Housing,Jun 2025,1070823
Auckland Super City,Emergency Housing,Sep 2025,1207672.7
Auckland Super City,Emergency Housing,Dec 2025,1553721.01
Auckland Super City,Emergency Housing,Mar 2026,2054720.65
Auckland Super City,Food,Mar 2023,13237416.74
Auckland Super City,Food,Jun 2023,11779586.89
Auckland Super City,Food,Sep 2023,12739659.14
Auckland Super City,Food,Dec 2023,12596374.26
Auckland Super City,Food,Mar 2024,11762140.01
Auckland Super City,Food,Jun 2024,9876465.39
Auckland Super City,Food,Sep 2024,10811239
Auckland Super City,Food,Dec 2024,11281472.31
Auckland Super City,Food,Mar 2025,11294622.48
Auckland Super City,Food,Jun 2025,9983195.26
Auckland Super City,Food,Sep 2025,10803971.31
Auckland Super City,Food,Dec 2025,11756275.81
Auckland Super City,Food,Mar 2026,11476940.29
Auckland Super City,Gas Assistance,Mar 2023,18220.58
Auckland Super City,Gas Assistance,Jun 2023,18768.68
Auckland Super City,Gas Assistance,Sep 2023,16370.44
Auckland Super City,Gas Assistance,Dec 2023,27892.95
Auckland Super City,Gas Assistance,Mar 2024,20224.42
Auckland Super City,Gas Assistance,Jun 2024,15380.16
Auckland Super City,Gas Assistance,Sep 2024,21415.48
Auckland Super City,Gas Assistance,Dec 2024,26294.73
Auckland Super City,Gas Assistance,Mar 2025,20276.04
Auckland Super City,Gas Assistance,Jun 2025,17251.08
Auckland Super City,Gas Assistance,Sep 2025,26528.43
Auckland Super City,Gas Assistance,Dec 2025,26220.91
Auckland Super City,Gas Assistance,Mar 2026,26204.04
Auckland Super City,Stranded Travel - Petrol,Mar 2023,95930.96
Auckland Super City,Stranded Travel - Petrol,Jun 2023,76293.92
Auckland Super City,Stranded Travel - Petrol,Sep 2023,90784.55
Auckland Super City,Stranded Travel - Petrol,Dec 2023,95991.18
Auckland Super City,Stranded Travel - Petrol,Mar 2024,83808.39
Auckland Super City,Stranded Travel - Petrol,Jun 2024,61482.79
Auckland Super City,Stranded Travel - Petrol,Sep 2024,61031.07
Auckland Super City,Stranded Travel - Petrol,Dec 2024,54317.76
Auckland Super City,Stranded Travel - Petrol,Mar 2025,66225.86
Auckland Super City,Stranded Travel - Petrol,Jun 2025,44594.31
Auckland Super City,Stranded Travel - Petrol,Sep 2025,47785.48
Auckland Super City,Stranded Travel - Petrol,Dec 2025,47305.94
Auckland Super City,Stranded Travel - Petrol,Mar 2026,47838.04
