region,service_centre,hardship_type,quarter,grants
Auckland Metro,Pukekohe,Electricity Assistance,Mar 2023,30
Auckland Metro,Pukekohe,Electricity Assistance,Jun 2023,39
Auckland Metro,Pukekohe,Electricity Assistance,Sep 2023,69
Auckland Metro,Pukekohe,Electricity Assistance,Dec 2023,63
Auckland Metro,Pukekohe,Electricity Assistance,Mar 2024,60
Auckland Metro,Pukekohe,Electricity Assistance,Jun 2024,54
Auckland Metro,Pukekohe,Electricity Assistance,Sep 2024,84
Auckland Metro,Pukekohe,Electricity Assistance,Dec 2024,54
Auckland Metro,Pukekohe,Electricity Assistance,Mar 2025,45
Auckland Metro,Pukekohe,Electricity Assistance,Jun 2025,54
Auckland Metro,Pukekohe,Electricity Assistance,Sep 2025,90
Auckland Metro,Pukekohe,Electricity Assistance,Dec 2025,54
Auckland Metro,Pukekohe,Electricity Assistance,Mar 2026,45
Auckland Metro,Pukekohe,Emergency Housing,Mar 2023,309
Auckland Metro,Pukekohe,Emergency Housing,Jun 2023,384
Auckland Metro,Pukekohe,Emergency Housing,Sep 2023,450
Auckland Metro,Pukekohe,Emergency Housing,Dec 2023,453
Auckland Metro,Pukekohe,Emergency Housing,Mar 2024,294
Auckland Metro,Pukekohe,Emergency Housing,Jun 2024,333
Auckland Metro,Pukekohe,Emergency Housing,Sep 2024,162
Auckland Metro,Pukekohe,Emergency Housing,Dec 2024,78
Auckland Metro,Pukekohe,Emergency Housing,Mar 2025,63
Auckland Metro,Pukekohe,Emergency Housing,Jun 2025,66
Auckland Metro,Pukekohe,Emergency Housing,Sep 2025,120
Auckland Metro,Pukekohe,Emergency Housing,Dec 2025,153
Auckland Metro,Pukekohe,Emergency Housing,Mar 2026,27
Auckland Metro,Pukekohe,Food,Mar 2023,837
Auckland Metro,Pukekohe,Food,Jun 2023,717
Auckland Metro,Pukekohe,Food,Sep 2023,861
Auckland Metro,Pukekohe,Food,Dec 2023,972
Auckland Metro,Pukekohe,Food,Mar 2024,951
Auckland Metro,Pukekohe,Food,Jun 2024,843
Auckland Metro,Pukekohe,Food,Sep 2024,738
Auckland Metro,Pukekohe,Food,Dec 2024,723
Auckland Metro,Pukekohe,Food,Mar 2025,768
Auckland Metro,Pukekohe,Food,Jun 2025,663
Auckland Metro,Pukekohe,Food,Sep 2025,702
Auckland Metro,Pukekohe,Food,Dec 2025,666
Auckland Metro,Pukekohe,Food,Mar 2026,597
Auckland Metro,Pukekohe,Gas Assistance,Mar 2023,0
Auckland Metro,Pukekohe,Gas Assistance,Jun 2023,0
Auckland Metro,Pukekohe,Gas Assistance,Sep 2023,3
Auckland Metro,Pukekohe,Gas Assistance,Dec 2023,3
Auckland Metro,Pukekohe,Gas Assistance,Mar 2024,3
Auckland Metro,Pukekohe,Gas Assistance,Jun 2024,3
Auckland Metro,Pukekohe,Gas Assistance,Sep 2024,6
Auckland Metro,Pukekohe,Gas Assistance,Dec 2024,3
Auckland Metro,Pukekohe,Gas Assistance,Mar 2025,9
Auckland Metro,Pukekohe,Gas Assistance,Jun 2025,3
Auckland Metro,Pukekohe,Gas Assistance,Sep 2025,3
Auckland Metro,Pukekohe,Gas Assistance,Dec 2025,3
