region,service_centre,hardship_type,quarter,amount
Auckland Metro,Pukekohe,Electricity Assistance,Mar 2023,15264.27
Auckland Metro,Pukekohe,Electricity Assistance,Jun 2023,17511.03
Auckland Metro,Pukekohe,Electricity Assistance,Sep 2023,42560.71
Auckland Metro,Pukekohe,Electricity Assistance,Dec 2023,29397.41
Auckland Metro,Pukekohe,Electricity Assistance,Mar 2024,31204.59
Auckland Metro,Pukekohe,Electricity Assistance,Jun 2024,32743.76
Auckland Metro,Pukekohe,Electricity Assistance,Sep 2024,60286.06
Auckland Metro,Pukekohe,Electricity Assistance,Dec 2024,34688.39
Auckland Metro,Pukekohe,Electricity Assistance,Mar 2025,38358.76
Auckland Metro,Pukekohe,Electricity Assistance,Jun 2025,35845.61
Auckland Metro,Pukekohe,Electricity Assistance,Sep 2025,61698.35
Auckland Metro,Pukekohe,Electricity Assistance,Dec 2025,41634.03
Auckland Metro,Pukekohe,Electricity Assistance,Mar 2026,32263.52
Auckland Metro,Pukekohe,Emergency Housing,Mar 2023,804844.38
Auckland Metro,Pukekohe,Emergency Housing,Jun 2023,1116347
Auckland Metro,Pukekohe,Emergency Housing,Sep 2023,1259186.91
Auckland Metro,Pukekohe,Emergency Housing,Dec 2023,1328108
Auckland Metro,Pukekohe,Emergency Housing,Mar 2024,796716.46
Auckland Metro,Pukekohe,Emergency Housing,Jun 2024,801187
Auckland Metro,Pukekohe,Emergency Housing,Sep 2024,340405.5
Auckland Metro,Pukekohe,Emergency Housing,Dec 2024,205357.8
Auckland Metro,Pukekohe,Emergency Housing,Mar 2025,149695
Auckland Metro,Pukekohe,Emergency Housing,Jun 2025,117328
Auckland Metro,Pukekohe,Emergency Housing,Sep 2025,221478.6
Auckland Metro,Pukekohe,Emergency Housing,Dec 2025,300068
Auckland Metro,Pukekohe,Emergency Housing,Mar 2026,52726
Auckland Metro,Pukekohe,Food,Mar 2023,107801.12
Auckland Metro,Pukekohe,Food,Jun 2023,89092.63
Auckland Metro,Pukekohe,Food,Sep 2023,107278.71
Auckland Metro,Pukekohe,Food,Dec 2023,124540.87
Auckland Metro,Pukekohe,Food,Mar 2024,117320.45
Auckland Metro,Pukekohe,Food,Jun 2024,99405.41
Auckland Metro,Pukekohe,Food,Sep 2024,90978.95
Auckland Metro,Pukekohe,Food,Dec 2024,88725.6
Auckland Metro,Pukekohe,Food,Mar 2025,91183.62
Auckland Metro,Pukekohe,Food,Jun 2025,77467.15
Auckland Metro,Pukekohe,Food,Sep 2025,84681.97
Auckland Metro,Pukekohe,Food,Dec 2025,78611.19
Auckland Metro,Pukekohe,Food,Mar 2026,70497.91
Auckland Metro,Pukekohe,Gas Assistance,Mar 2023,0
Auckland Metro,Pukekohe,Gas Assistance,Jun 2023,0
Auckland Metro,Pukekohe,Gas Assistance,Sep 2023,30
Auckland Metro,Pukekohe,Gas Assistance,Dec 2023,300.96
Auckland Metro,Pukekohe,Gas Assistance,Mar 2024,509.62
Auckland Metro,Pukekohe,Gas Assistance,Jun 2024,348.74
Auckland Metro,Pukekohe,Gas Assistance,Sep 2024,585.82
Auckland Metro,Pukekohe,Gas Assistance,Dec 2024,265
Auckland Metro,Pukekohe,Gas Assistance,Mar 2025,596.5
Auckland Metro,Pukekohe,Gas Assistance,Jun 2025,556
Auckland Metro,Pukekohe,Gas Assistance,Sep 2025,771.5
Auckland Metro,Pukekohe,Gas Assistance,Dec 2025,272.23
Auckland Metro,Pukekohe,Gas Assistance,Mar 2026,753.84
Auckland Metro,Pukekohe,Stranded Travel - Petrol,Mar 2023,1105
Auckland Metro,Pukekohe,Stranded Travel - Petrol,Jun 2023,470
Auckland Metro,Pukekohe,Stranded Travel - Petrol,Sep 2023,1805
Auckland Metro,Pukekohe,Stranded Travel - Petrol,Dec 2023,1885
Auckland Metro,Pukekohe,Stranded Travel - Petrol,Mar 2024,700
Auckland Metro,Pukekohe,Stranded Travel - Petrol,Jun 2024,180
Auckland Metro,Pukekohe,Stranded Travel - Petrol,Sep 2024,1830
Auckland Metro,Pukekohe,Stranded Travel - Petrol,Dec 2024,1029
Auckland Metro,Pukekohe,Stranded Travel - Petrol,Mar 2025,2021
Auckland Metro,Pukekohe,Stranded Travel - Petrol,Jun 2025,645
Auckland Metro,Pukekohe,Stranded Travel - Petrol,Sep 2025,2025
Auckland Metro,Pukekohe,Stranded Travel - Petrol,Dec 2025,1100
Auckland Metro,Pukekohe,Stranded Travel - Petrol,Mar 2026,778
Auckland Metro,Pukekohe,All hardship,Mar 2023,1717775.35
Auckland Metro,Pukekohe,All hardship,Jun 2023,1896555.53
Auckland Metro,Pukekohe,All hardship,Sep 2023,2290837.73
Auckland Metro,Pukekohe,All hardship,Dec 2023,2342539.55
Auckland Metro,Pukekohe,All hardship,Mar 2024,2122562.21
Auckland Metro,Pukekohe,All hardship,Jun 2024,2217970.89
Auckland Metro,Pukekohe,All hardship,Sep 2024,1836792.42
Auckland Metro,Pukekohe,All hardship,Dec 2024,1361132.05
Auckland Metro,Pukekohe,All hardship,Mar 2025,1524258.73
Auckland Metro,Pukekohe,All hardship,Jun 2025,1459839.1
Auckland Metro,Pukekohe,All hardship,Sep 2025,1714302.72
Auckland Metro,Pukekohe,All hardship,Dec 2025,1457077.35
Auckland Metro,Pukekohe,All hardship,Mar 2026,1156098.53
Waikato,Cambridge,Electricity Assistance,Mar 2023,6566.38
Waikato,Cambridge,Electricity Assistance,Jun 2023,1290.18
Waikato,Cambridge,Electricity Assistance,Sep 2023,4188.08
Waikato,Cambridge,Electricity Assistance,Dec 2023,3808.58
Waikato,Cambridge,Electricity Assistance,Mar 2024,7175.53
Waikato,Cambridge,Electricity Assistance,Jun 2024,1184.25
Waikato,Cambridge,Electricity Assistance,Sep 2024,7237.02
Waikato,Cambridge,Electricity Assistance,Dec 2024,4622.3
Waikato,Cambridge,Electricity Assistance,Mar 2025,3116.59
Waikato,Cambridge,Electricity Assistance,Jun 2025,4882.88
Waikato,Cambridge,Electricity Assistance,Sep 2025,9419.64
Waikato,Cambridge,Electricity Assistance,Dec 2025,10039.38
Waikato,Cambridge,Electricity Assistance,Mar 2026,10427.21
Waikato,Cambridge,Emergency Housing,Mar 2023,24327.33
Waikato,Cambridge,Emergency Housing,Jun 2023,4620
Waikato,Cambridge,Emergency Housing,Sep 2023,19229
Waikato,Cambridge,Emergency Housing,Dec 2023,4823
