area,type,population,maori_pct
Hamilton City,tla,174741,25.4
Waikato District,tla,85968,26.9
Waipa District,tla,58686,15.9
Matamata-Piako District,tla,37098,18.6
Otorohanga District,tla,10410,32.5
Huntly,centre,8232,53.5
Ngaruawahia,centre,7992,54.0
Thames,centre,7212,23.1
Waihi,centre,5682,23.4
Paeroa,centre,4458,23.7
Matamata,centre,9132,17.0
Morrinsville,centre,9003,19.5
Cambridge,centre,21366,10.9
Te Awamutu,centre,13380,24.1
Kirikiriroa,centre,85000,25.4
Dinsdale,centre,23000,25.4
Five Cross Roads,centre,42000,25.4
Hamilton East,centre,24741,25.4
Pukekohe,centre,27042,20.9
